sample_index,temporal_index,height_index,width_index,importance
3,5,5,10,0.7418857216835022
3,5,5,11,0.7902293801307678
3,5,5,12,0.5155608654022217
3,5,5,13,0.6022812724113464
3,5,6,0,0.41803017258644104
3,5,6,1,0.852843701839447
3,5,6,2,0.47696855664253235
3,5,6,3,0.7883083820343018
3,5,6,4,0.5221827030181885
3,5,6,5,0.6057122349739075
3,5,6,6,0.4066651463508606
3,5,6,7,0.3464628756046295
3,5,6,8,0.8936337232589722
3,5,6,9,0.9292207956314087
3,5,6,10,0.833042323589325
3,5,6,11,0.28550711274147034
3,5,6,12,0.3418140709400177
3,5,6,13,0.5104891061782837
3,6,0,0,0.47493982315063477
3,6,0,1,0.3223005533218384
3,6,0,2,0.35017910599708557
3,6,0,3,0.35263592004776
3,6,0,4,0.3247458338737488
3,6,0,5,0.44051313400268555
3,6,0,6,0.4438149034976959
3,6,0,7,0.3352493643760681
3,6,0,8,0.8416810035705566
3,6,0,9,0.34945279359817505
3,6,0,10,0.4447544813156128
3,6,0,11,0.35319381952285767
3,6,0,12,0.480151891708374
3,6,0,13,0.7546879649162292
3,6,1,0,0.40521296858787537
3,6,1,1,0.3944948613643646
3,6,1,2,0.40493130683898926
3,6,1,3,0.8556073307991028
3,6,1,4,0.4709334075450897
3,6,1,5,0.7511695623397827
3,6,1,6,0.3638414144515991
3,6,1,7,0.8726061582565308
3,6,1,8,0.4553348422050476
3,6,1,9,0.33995702862739563
3,6,1,10,0.913131594657898
3,6,1,11,0.8602530360221863
3,6,1,12,0.32410621643066406
3,6,1,13,0.9396249651908875
3,6,2,0,0.9234127998352051
3,6,2,1,0.8906574249267578
3,6,2,2,0.8927667140960693
3,6,2,3,0.884760320186615
3,6,2,4,0.861355185508728
3,6,2,5,0.8061536550521851
3,6,2,6,0.9254435896873474
3,6,2,7,0.33487898111343384
3,6,2,8,0.7023504972457886
3,6,2,9,0.41350361704826355
3,6,2,10,0.8777071833610535
3,6,2,11,0.39282387495040894
3,6,2,12,0.8463943004608154
3,6,2,13,0.9033675789833069
3,6,3,0,0.9001213312149048
3,6,3,1,0.9141435623168945
3,6,3,2,0.44294509291648865
3,6,3,3,0.8429056406021118
3,6,3,4,0.8791055083274841
3,6,3,5,0.9014672636985779
3,6,3,6,0.8953424096107483
3,6,3,7,0.4767709970474243
3,6,3,8,0.35156485438346863
3,6,3,9,0.3426331579685211
3,6,3,10,0.33040428161621094
3,6,3,11,0.3288476765155792
3,6,3,12,0.4402462840080261
3,6,3,13,0.462300181388855
3,6,4,0,0.32332843542099
3,6,4,1,0.8493457436561584
3,6,4,2,0.9552666544914246
3,6,4,3,0.9321542978286743
3,6,4,4,0.4094790816307068
3,6,4,5,0.5338366031646729
3,6,4,6,0.4477718472480774
3,6,4,7,0.6538142561912537
3,6,4,8,0.8593471646308899
3,6,4,9,0.8765524625778198
3,6,4,10,0.8826894760131836
3,6,4,11,0.9389234185218811
3,6,4,12,0.833928644657135
3,6,4,13,0.4498274326324463
3,6,5,0,0.4467647075653076
3,6,5,1,0.8733402490615845
3,6,5,2,0.6102175712585449
3,6,5,3,0.9643950462341309
3,6,5,4,0.7735720276832581
3,6,5,5,0.3693929612636566
3,6,5,6,0.4189261794090271
3,6,5,7,0.7552235722541809
3,6,5,8,0.8687928915023804
3,6,5,9,0.8891673684120178
3,6,5,10,0.8880003690719604
3,6,5,11,0.8591563105583191
3,6,5,12,0.8509585857391357
3,6,5,13,0.34705010056495667
3,6,6,0,0.46976548433303833
3,6,6,1,0.8779718279838562
3,6,6,2,0.8886553049087524
3,6,6,3,0.8785573244094849
3,6,6,4,0.713591456413269
3,6,6,5,0.768821656703949
3,6,6,6,0.32038477063179016
3,6,6,7,0.8620978593826294
3,6,6,8,0.9163659811019897
3,6,6,9,0.9500220417976379
3,6,6,10,0.714725136756897
3,6,6,11,0.8562039136886597
3,6,6,12,0.3869485557079315
3,6,6,13,0.9136248826980591
3,7,0,0,0.47726595401763916
3,7,0,1,0.3232973515987396
3,7,0,2,0.3175460398197174
3,7,0,3,0.35311469435691833
3,7,0,4,0.31892746686935425
3,7,0,5,0.4450054466724396
3,7,0,6,0.44894006848335266
3,7,0,7,0.892199695110321
3,7,0,8,0.8587013483047485
3,7,0,9,0.9395936131477356
3,7,0,10,0.9397836923599243
3,7,0,11,0.3472725450992584
3,7,0,12,0.9134472012519836
3,7,0,13,0.8386391401290894
3,7,1,0,0.7427310943603516
3,7,1,1,0.8640238642692566
3,7,1,2,0.8565154075622559
3,7,1,3,0.8920332789421082
3,7,1,4,0.4429153501987457
3,7,1,5,0.8168634176254272
3,7,1,6,0.6322916150093079
3,7,1,7,0.43858084082603455
3,7,1,8,0.7261691689491272
3,7,1,9,0.7305636405944824
3,7,1,10,0.9342066049575806
3,7,1,11,0.5359475016593933
3,7,1,12,0.3345649540424347
3,7,1,13,0.5545337796211243
3,7,2,0,0.5705732107162476
3,7,2,1,0.8381023406982422
3,7,2,2,0.8816170692443848
3,7,2,3,0.8944098353385925
3,7,2,4,0.8244702219963074
3,7,2,5,0.7468155026435852
3,7,2,6,0.3442879021167755
3,7,2,7,0.6402281522750854
3,7,2,8,0.8919152617454529
3,7,2,9,0.8865952491760254
3,7,2,10,0.8970373272895813
3,7,2,11,0.5299955010414124
3,7,2,12,0.6030388474464417
3,7,2,13,0.5576877593994141
3,7,3,0,0.8536366820335388
3,7,3,1,0.9366008043289185
3,7,3,2,0.9312292337417603
3,7,3,3,1.0
3,7,3,4,0.9497976303100586
3,7,3,5,0.3908421993255615
3,7,3,6,0.42474380135536194
3,7,3,7,0.479099303483963
3,7,3,8,0.3753412067890167
3,7,3,9,0.30881157517433167
3,7,3,10,0.3688502907752991
3,7,3,11,0.336249440908432
3,7,3,12,0.44690176844596863
3,7,3,13,0.444240540266037
3,7,4,0,0.8652092814445496
3,7,4,1,0.8387795090675354
3,7,4,2,0.6270102262496948
3,7,4,3,0.9202209711074829
3,7,4,4,0.4532812237739563
3,7,4,5,0.9010000228881836
3,7,4,6,0.8591172099113464
3,7,4,7,0.8089364171028137
3,7,4,8,0.8762357831001282
3,7,4,9,0.8772653341293335
3,7,4,10,0.8769688606262207
3,7,4,11,0.39957401156425476
3,7,4,12,0.838870108127594
3,7,4,13,0.6753630638122559
3,7,5,0,0.4471268653869629
3,7,5,1,0.7299849987030029
3,7,5,2,0.838746190071106
3,7,5,3,0.8913213610649109
3,7,5,4,0.6994090676307678
3,7,5,5,0.8781775236129761
3,7,5,6,0.8706360459327698
3,7,5,7,0.5764464735984802
3,7,5,8,0.8812081813812256
3,7,5,9,0.8849645256996155
3,7,5,10,0.9121848940849304
3,7,5,11,0.8496993780136108
3,7,5,12,0.8231796026229858
3,7,5,13,0.9027025699615479
3,7,6,0,0.9029933214187622
3,7,6,1,0.8752226233482361
3,7,6,2,0.5878454446792603
3,7,6,3,0.9105084538459778
3,7,6,4,0.885138988494873
3,7,6,5,0.9281409382820129
3,7,6,6,0.8841918110847473
3,7,6,7,0.907335638999939
3,7,6,8,0.9907639026641846
3,7,6,9,0.9396051168441772
3,7,6,10,0.9542100429534912
3,7,6,11,0.8945598602294922
3,7,6,12,0.7981579899787903
3,7,6,13,0.8471256494522095
