sample_index,temporal_index,height_index,width_index,importance
0,3,6,10,0.31645384430885315
0,3,6,11,0.8587116003036499
0,3,6,12,0.7689099311828613
0,3,6,13,0.2984580099582672
0,4,0,0,0.4347306787967682
0,4,0,1,0.3232325315475464
0,4,0,2,0.732418954372406
0,4,0,3,0.3469123840332031
0,4,0,4,0.6801760792732239
0,4,0,5,0.38159695267677307
0,4,0,6,0.4346950054168701
0,4,0,7,0.9394446015357971
0,4,0,8,0.8980146050453186
0,4,0,9,0.957490086555481
0,4,0,10,0.9586131572723389
0,4,0,11,0.8444551229476929
0,4,0,12,0.9545297026634216
0,4,0,13,0.3719261884689331
0,4,1,0,0.9264926314353943
0,4,1,1,0.8394764065742493
0,4,1,2,0.9317613840103149
0,4,1,3,0.8940117359161377
0,4,1,4,0.6895248889923096
0,4,1,5,0.8450690507888794
0,4,1,6,0.40088871121406555
0,4,1,7,0.3304763734340668
0,4,1,8,0.8405630588531494
0,4,1,9,0.8671441674232483
0,4,1,10,0.9053286910057068
0,4,1,11,0.7304798364639282
0,4,1,12,0.7776556015014648
0,4,1,13,0.8946957588195801
0,4,2,0,0.37127652764320374
0,4,2,1,0.8593040108680725
0,4,2,2,0.8332386612892151
0,4,2,3,0.8552009463310242
0,4,2,4,0.8448826670646667
0,4,2,5,0.33589601516723633
0,4,2,6,0.35399341583251953
0,4,2,7,0.41282594203948975
0,4,2,8,0.5655338764190674
0,4,2,9,0.5717973113059998
0,4,2,10,0.6450992226600647
0,4,2,11,0.42845824360847473
0,4,2,12,0.38537776470184326
0,4,2,13,0.3276369273662567
0,4,3,0,0.41874960064888
0,4,3,1,0.8887930512428284
0,4,3,2,0.8405590653419495
0,4,3,3,0.32192307710647583
0,4,3,4,0.8601089119911194
0,4,3,5,0.7559157609939575
0,4,3,6,0.32267603278160095
0,4,3,7,0.43226370215415955
0,4,3,8,0.31989485025405884
0,4,3,9,0.8240732550621033
0,4,3,10,0.3588058650493622
0,4,3,11,0.7539085745811462
0,4,3,12,0.39694228768348694
0,4,3,13,0.43455860018730164
0,4,4,0,0.9303087592124939
0,4,4,1,0.9082443714141846
0,4,4,2,0.9566165208816528
0,4,4,3,0.9373000860214233
0,4,4,4,0.8507960438728333
0,4,4,5,0.9626445770263672
0,4,4,6,0.3778207302093506
0,4,4,7,0.9132213592529297
0,4,4,8,0.8449935913085938
0,4,4,9,0.9386752247810364
0,4,4,10,0.8640148639678955
0,4,4,11,0.6400082111358643
0,4,4,12,0.8559091687202454
0,4,4,13,0.7046233415603638
0,4,5,0,0.36259666085243225
0,4,5,1,0.820965051651001
0,4,5,2,0.832577645778656
0,4,5,3,0.7620267868041992
0,4,5,4,0.5613147020339966
0,4,5,5,0.7581419348716736
0,4,5,6,0.8999070525169373
0,4,5,7,0.36588233709335327
0,4,5,8,0.8656952977180481
0,4,5,9,0.8163609504699707
0,4,5,10,0.7633470892906189
0,4,5,11,0.8447090983390808
0,4,5,12,0.3354661762714386
0,4,5,13,0.3707675635814667
