class,class_label,feature,mean_abs_shap,mean_signed_shap
Control,0,Video_Swin_Fused_342,0.0,0.0
Control,0,Video_Swin_Fused_343,0.18894778192043304,0.05276649072766304
Control,0,Video_Swin_Fused_344,0.0,0.0
Control,0,Video_Swin_Fused_345,0.0,0.0
Control,0,Video_Swin_Fused_346,0.0,0.0
Control,0,Video_Swin_Fused_347,0.0,0.0
Control,0,Video_Swin_Fused_348,0.0,0.0
Control,0,Video_Swin_Fused_349,0.0,0.0
Control,0,Video_Swin_Fused_350,0.0,0.0
Control,0,Video_Swin_Fused_351,0.0,0.0
Control,0,Video_Swin_Fused_352,0.0,0.0
Control,0,Video_Swin_Fused_353,0.0,0.0
Control,0,Video_Swin_Fused_354,0.0,0.0
Control,0,Video_Swin_Fused_355,0.0,0.0
Control,0,Video_Swin_Fused_356,0.0,0.0
Control,0,Video_Swin_Fused_357,0.0,0.0
Control,0,Video_Swin_Fused_358,0.0,0.0
Control,0,Video_Swin_Fused_359,0.0,0.0
Control,0,Video_Swin_Fused_360,0.0,0.0
Control,0,Video_Swin_Fused_361,0.0,0.0
Control,0,Video_Swin_Fused_362,0.0,0.0
Control,0,Video_Swin_Fused_363,0.0,0.0
Control,0,Video_Swin_Fused_364,0.0,0.0
Control,0,Video_Swin_Fused_365,0.0,0.0
Control,0,Video_Swin_Fused_366,0.0,0.0
Control,0,Video_Swin_Fused_367,0.0,0.0
Control,0,Video_Swin_Fused_368,0.0,0.0
Control,0,Video_Swin_Fused_369,0.0,0.0
Control,0,Video_Swin_Fused_370,0.0,0.0
Control,0,Video_Swin_Fused_371,0.22790104150772095,0.14716967940330505
Control,0,Video_Swin_Fused_372,0.0,0.0
Control,0,Video_Swin_Fused_373,0.0,0.0
Control,0,Video_Swin_Fused_374,0.0,0.0
Control,0,Video_Swin_Fused_375,0.0,0.0
Control,0,Video_Swin_Fused_376,0.0,0.0
Control,0,Video_Swin_Fused_377,0.0,0.0
Control,0,Video_Swin_Fused_378,0.0,0.0
Control,0,Video_Swin_Fused_379,0.0,0.0
Control,0,Video_Swin_Fused_380,0.0,0.0
Control,0,Video_Swin_Fused_381,0.0,0.0
Control,0,Video_Swin_Fused_382,0.0,0.0
Control,0,Video_Swin_Fused_383,0.0,0.0
Control,0,Video_Swin_Fused_384,0.0,0.0
Control,0,AST_Fused_001,0.0,0.0
Control,0,AST_Fused_002,0.0,0.0
Control,0,AST_Fused_003,0.0,0.0
Control,0,AST_Fused_004,0.0,0.0
Control,0,AST_Fused_005,0.0,0.0
Control,0,AST_Fused_006,0.0,0.0
Control,0,AST_Fused_007,0.0,0.0
Control,0,AST_Fused_008,0.0,0.0
Control,0,AST_Fused_009,0.0,0.0
Control,0,AST_Fused_010,0.05838754028081894,-0.0144480150192976
Control,0,AST_Fused_011,0.0,0.0
Control,0,AST_Fused_012,0.0,0.0
Control,0,AST_Fused_013,0.18229646980762482,-0.18229646980762482
Control,0,AST_Fused_014,0.0,0.0
Control,0,AST_Fused_015,0.0,0.0
Control,0,AST_Fused_016,0.0,0.0
Control,0,AST_Fused_017,0.0,0.0
Control,0,AST_Fused_018,0.0,0.0
Control,0,AST_Fused_019,0.0,0.0
Control,0,AST_Fused_020,0.0,0.0
Control,0,AST_Fused_021,0.0,0.0
Control,0,AST_Fused_022,0.0,0.0
Control,0,AST_Fused_023,0.0,0.0
Control,0,AST_Fused_024,0.0,0.0
Control,0,AST_Fused_025,0.0,0.0
Control,0,AST_Fused_026,0.0,0.0
Control,0,AST_Fused_027,0.0,0.0
Control,0,AST_Fused_028,0.0,0.0
Control,0,AST_Fused_029,0.0,0.0
Control,0,AST_Fused_030,0.0,0.0
Control,0,AST_Fused_031,0.0,0.0
Control,0,AST_Fused_032,0.0,0.0
Control,0,AST_Fused_033,0.0,0.0
Control,0,AST_Fused_034,0.0,0.0
Control,0,AST_Fused_035,0.0,0.0
Control,0,AST_Fused_036,0.0,0.0
Control,0,AST_Fused_037,0.0,0.0
Control,0,AST_Fused_038,0.0,0.0
Control,0,AST_Fused_039,0.0,0.0
Control,0,AST_Fused_040,0.0,0.0
Control,0,AST_Fused_041,0.0,0.0
Control,0,AST_Fused_042,0.0,0.0
Control,0,AST_Fused_043,0.0,0.0
Control,0,AST_Fused_044,0.0,0.0
Control,0,AST_Fused_045,0.0,0.0
Control,0,AST_Fused_046,0.0,0.0
Control,0,AST_Fused_047,0.0,0.0
Control,0,AST_Fused_048,0.0,0.0
Control,0,AST_Fused_049,0.0,0.0
Control,0,AST_Fused_050,0.0,0.0
Control,0,AST_Fused_051,0.0,0.0
Control,0,AST_Fused_052,0.0,0.0
Control,0,AST_Fused_053,0.0,0.0
Control,0,AST_Fused_054,0.0,0.0
Control,0,AST_Fused_055,0.0,0.0
Control,0,AST_Fused_056,0.0,0.0
Control,0,AST_Fused_057,0.0,0.0
Control,0,AST_Fused_058,0.0,0.0
Control,0,AST_Fused_059,0.0,0.0
Control,0,AST_Fused_060,0.0,0.0
Control,0,AST_Fused_061,0.0,0.0
Control,0,AST_Fused_062,0.0,0.0
Control,0,AST_Fused_063,0.0,0.0
Control,0,AST_Fused_064,0.37458035349845886,-0.37458035349845886
Control,0,AST_Fused_065,0.0,0.0
Control,0,AST_Fused_066,0.0,0.0
Control,0,AST_Fused_067,0.0,0.0
Control,0,AST_Fused_068,0.0,0.0
Control,0,AST_Fused_069,0.0,0.0
Control,0,AST_Fused_070,0.0,0.0
Control,0,AST_Fused_071,0.0,0.0
Control,0,AST_Fused_072,0.0,0.0
Control,0,AST_Fused_073,0.0,0.0
Control,0,AST_Fused_074,0.0,0.0
Control,0,AST_Fused_075,0.0,0.0
Control,0,AST_Fused_076,0.0,0.0
Control,0,AST_Fused_077,0.0,0.0
Control,0,AST_Fused_078,0.0,0.0
Control,0,AST_Fused_079,0.0,0.0
Control,0,AST_Fused_080,0.0,0.0
Control,0,AST_Fused_081,0.0,0.0
Control,0,AST_Fused_082,0.0,0.0
Control,0,AST_Fused_083,0.0,0.0
Control,0,AST_Fused_084,0.0,0.0
Control,0,AST_Fused_085,0.0,0.0
Control,0,AST_Fused_086,0.0,0.0
Control,0,AST_Fused_087,0.0,0.0
Control,0,AST_Fused_088,0.0,0.0
Control,0,AST_Fused_089,0.0,0.0
Control,0,AST_Fused_090,0.0,0.0
Control,0,AST_Fused_091,0.0,0.0
Control,0,AST_Fused_092,0.0,0.0
Control,0,AST_Fused_093,0.0,0.0
Control,0,AST_Fused_094,0.0,0.0
Control,0,AST_Fused_095,0.0,0.0
Control,0,AST_Fused_096,0.1367228478193283,0.07438279688358307
Control,0,AST_Fused_097,0.0,0.0
Control,0,AST_Fused_098,0.0,0.0
Control,0,AST_Fused_099,0.0,0.0
Control,0,AST_Fused_100,0.0,0.0
Control,0,AST_Fused_101,0.0,0.0
Control,0,AST_Fused_102,0.0,0.0
Control,0,AST_Fused_103,0.0,0.0
Control,0,AST_Fused_104,0.0,0.0
Control,0,AST_Fused_105,0.0,0.0
Control,0,AST_Fused_106,0.0,0.0
Control,0,AST_Fused_107,0.0,0.0
Control,0,AST_Fused_108,0.0,0.0
Control,0,AST_Fused_109,0.0,0.0
Control,0,AST_Fused_110,0.0,0.0
Control,0,AST_Fused_111,0.0,0.0
Control,0,AST_Fused_112,0.0,0.0
Control,0,AST_Fused_113,0.0,0.0
Control,0,AST_Fused_114,0.0,0.0
Control,0,AST_Fused_115,0.0,0.0
Control,0,AST_Fused_116,0.0,0.0
Control,0,AST_Fused_117,0.0,0.0
Control,0,AST_Fused_118,0.0,0.0
Control,0,AST_Fused_119,0.0,0.0
Control,0,AST_Fused_120,0.0,0.0
Control,0,AST_Fused_121,0.0,0.0
Control,0,AST_Fused_122,0.0,0.0
Control,0,AST_Fused_123,0.0,0.0
Control,0,AST_Fused_124,0.0,0.0
Control,0,AST_Fused_125,0.0,0.0
Control,0,AST_Fused_126,0.0,0.0
Control,0,AST_Fused_127,0.0,0.0
Control,0,AST_Fused_128,0.0,0.0
Control,0,AST_Fused_129,0.0,0.0
Control,0,AST_Fused_130,0.0,0.0
Control,0,AST_Fused_131,0.2984084188938141,-0.0778098776936531
Control,0,AST_Fused_132,0.0,0.0
Control,0,AST_Fused_133,0.0,0.0
Control,0,AST_Fused_134,0.0,0.0
Control,0,AST_Fused_135,0.0,0.0
Control,0,AST_Fused_136,0.0,0.0
Control,0,AST_Fused_137,0.0,0.0
Control,0,AST_Fused_138,0.0,0.0
Control,0,AST_Fused_139,0.0,0.0
Control,0,AST_Fused_140,0.0,0.0
Control,0,AST_Fused_141,0.0,0.0
Control,0,AST_Fused_142,0.0,0.0
Control,0,AST_Fused_143,0.0,0.0
Control,0,AST_Fused_144,0.0,0.0
Control,0,AST_Fused_145,0.0,0.0
Control,0,AST_Fused_146,0.0,0.0
Control,0,AST_Fused_147,0.0,0.0
Control,0,AST_Fused_148,0.0,0.0
Control,0,AST_Fused_149,0.0,0.0
Control,0,AST_Fused_150,0.0,0.0
