feature,mean_abs_shap,class,rank
AST_Fused_191,0.0,Control,318
AST_Fused_006,0.0,Control,319
AST_Fused_193,0.0,Control,320
AST_Fused_194,0.0,Control,321
AST_Fused_195,0.0,Control,322
AST_Fused_196,0.0,Control,323
AST_Fused_197,0.0,Control,324
AST_Fused_198,0.0,Control,325
AST_Fused_199,0.0,Control,326
AST_Fused_200,0.0,Control,327
AST_Fused_201,0.0,Control,328
AST_Fused_215,0.0,Control,329
AST_Fused_204,0.0,Control,330
AST_Fused_205,0.0,Control,331
AST_Fused_206,0.0,Control,332
AST_Fused_207,0.0,Control,333
AST_Fused_208,0.0,Control,334
AST_Fused_209,0.0,Control,335
AST_Fused_210,0.0,Control,336
AST_Fused_211,0.0,Control,337
AST_Fused_212,0.0,Control,338
AST_Fused_213,0.0,Control,339
AST_Fused_214,0.0,Control,340
AST_Fused_203,0.0,Control,341
AST_Fused_264,0.0,Control,342
AST_Fused_265,0.0,Control,343
AST_Fused_266,0.0,Control,344
AST_Fused_267,0.0,Control,345
AST_Fused_268,0.0,Control,346
AST_Fused_269,0.0,Control,347
AST_Fused_270,0.0,Control,348
AST_Fused_271,0.0,Control,349
AST_Fused_272,0.0,Control,350
AST_Fused_273,0.0,Control,351
AST_Fused_274,0.0,Control,352
AST_Fused_239,0.0,Control,353
AST_Fused_276,0.0,Control,354
AST_Fused_277,0.0,Control,355
AST_Fused_278,0.0,Control,356
AST_Fused_279,0.0,Control,357
AST_Fused_280,0.0,Control,358
AST_Fused_281,0.0,Control,359
AST_Fused_282,0.0,Control,360
AST_Fused_283,0.0,Control,361
AST_Fused_284,0.0,Control,362
AST_Fused_285,0.0,Control,363
AST_Fused_286,0.0,Control,364
AST_Fused_275,0.0,Control,365
AST_Fused_240,0.0,Control,366
AST_Fused_241,0.0,Control,367
AST_Fused_242,0.0,Control,368
AST_Fused_243,0.0,Control,369
AST_Fused_244,0.0,Control,370
AST_Fused_245,0.0,Control,371
AST_Fused_246,0.0,Control,372
AST_Fused_247,0.0,Control,373
AST_Fused_248,0.0,Control,374
AST_Fused_249,0.0,Control,375
AST_Fused_250,0.0,Control,376
AST_Fused_263,0.0,Control,377
AST_Fused_252,0.0,Control,378
AST_Fused_253,0.0,Control,379
AST_Fused_254,0.0,Control,380
AST_Fused_255,0.0,Control,381
AST_Fused_256,0.0,Control,382
AST_Fused_257,0.0,Control,383
AST_Fused_258,0.0,Control,384
AST_Fused_259,0.0,Control,385
AST_Fused_260,0.0,Control,386
AST_Fused_261,0.0,Control,387
AST_Fused_262,0.0,Control,388
AST_Fused_251,0.0,Control,389
Video_Swin_Fused_122,0.0,Control,390
Video_Swin_Fused_123,0.0,Control,391
Video_Swin_Fused_124,0.0,Control,392
Video_Swin_Fused_125,0.0,Control,393
Video_Swin_Fused_126,0.0,Control,394
Video_Swin_Fused_127,0.0,Control,395
Video_Swin_Fused_128,0.0,Control,396
Video_Swin_Fused_129,0.0,Control,397
Video_Swin_Fused_130,0.0,Control,398
Video_Swin_Fused_131,0.0,Control,399
Video_Swin_Fused_384,0.0,Control,400
Video_Swin_Fused_133,0.0,Control,401
Video_Swin_Fused_134,0.0,Control,402
Video_Swin_Fused_135,0.0,Control,403
Video_Swin_Fused_136,0.0,Control,404
Video_Swin_Fused_137,0.0,Control,405
Video_Swin_Fused_138,0.0,Control,406
Video_Swin_Fused_139,0.0,Control,407
Video_Swin_Fused_140,0.0,Control,408
Video_Swin_Fused_141,0.0,Control,409
Video_Swin_Fused_142,0.0,Control,410
Video_Swin_Fused_143,0.0,Control,411
Video_Swin_Fused_132,0.0,Control,412
Video_Swin_Fused_097,0.0,Control,413
Video_Swin_Fused_098,0.0,Control,414
Video_Swin_Fused_099,0.0,Control,415
Video_Swin_Fused_100,0.0,Control,416
Video_Swin_Fused_101,0.0,Control,417
Video_Swin_Fused_102,0.0,Control,418
Video_Swin_Fused_103,0.0,Control,419
Video_Swin_Fused_104,0.0,Control,420
Video_Swin_Fused_105,0.0,Control,421
Video_Swin_Fused_106,0.0,Control,422
Video_Swin_Fused_107,0.0,Control,423
Video_Swin_Fused_121,0.0,Control,424
Video_Swin_Fused_109,0.0,Control,425
Video_Swin_Fused_110,0.0,Control,426
Video_Swin_Fused_111,0.0,Control,427
Video_Swin_Fused_112,0.0,Control,428
Video_Swin_Fused_113,0.0,Control,429
Video_Swin_Fused_115,0.0,Control,430
Video_Swin_Fused_116,0.0,Control,431
Video_Swin_Fused_117,0.0,Control,432
Video_Swin_Fused_118,0.0,Control,433
Video_Swin_Fused_119,0.0,Control,434
Video_Swin_Fused_120,0.0,Control,435
Video_Swin_Fused_108,0.0,Control,436
Video_Swin_Fused_170,0.0,Control,437
Video_Swin_Fused_171,0.0,Control,438
Video_Swin_Fused_172,0.0,Control,439
Video_Swin_Fused_173,0.0,Control,440
Video_Swin_Fused_174,0.0,Control,441
Video_Swin_Fused_175,0.0,Control,442
Video_Swin_Fused_176,0.0,Control,443
Video_Swin_Fused_177,0.0,Control,444
Video_Swin_Fused_178,0.0,Control,445
Video_Swin_Fused_179,0.0,Control,446
Video_Swin_Fused_144,0.0,Control,447
Video_Swin_Fused_181,0.0,Control,448
Video_Swin_Fused_182,0.0,Control,449
Video_Swin_Fused_183,0.0,Control,450
Video_Swin_Fused_184,0.0,Control,451
Video_Swin_Fused_185,0.0,Control,452
Video_Swin_Fused_186,0.0,Control,453
Video_Swin_Fused_187,0.0,Control,454
Video_Swin_Fused_188,0.0,Control,455
Video_Swin_Fused_189,0.0,Control,456
Video_Swin_Fused_190,0.0,Control,457
Video_Swin_Fused_191,0.0,Control,458
Video_Swin_Fused_180,0.0,Control,459
Video_Swin_Fused_145,0.0,Control,460
Video_Swin_Fused_146,0.0,Control,461
Video_Swin_Fused_147,0.0,Control,462
Video_Swin_Fused_148,0.0,Control,463
Video_Swin_Fused_150,0.0,Control,464
Video_Swin_Fused_151,0.0,Control,465
Video_Swin_Fused_152,0.0,Control,466
Video_Swin_Fused_153,0.0,Control,467
Video_Swin_Fused_154,0.0,Control,468
Video_Swin_Fused_155,0.0,Control,469
Video_Swin_Fused_156,0.0,Control,470
Video_Swin_Fused_169,0.0,Control,471
Video_Swin_Fused_158,0.0,Control,472
Video_Swin_Fused_159,0.0,Control,473
Video_Swin_Fused_160,0.0,Control,474
Video_Swin_Fused_161,0.0,Control,475
Video_Swin_Fused_162,0.0,Control,476
Video_Swin_Fused_163,0.0,Control,477
Video_Swin_Fused_164,0.0,Control,478
Video_Swin_Fused_165,0.0,Control,479
Video_Swin_Fused_166,0.0,Control,480
Video_Swin_Fused_167,0.0,Control,481
Video_Swin_Fused_168,0.0,Control,482
Video_Swin_Fused_157,0.0,Control,483
Video_Swin_Fused_025,0.0,Control,484
Video_Swin_Fused_026,0.0,Control,485
Video_Swin_Fused_027,0.0,Control,486
Video_Swin_Fused_028,0.0,Control,487
Video_Swin_Fused_029,0.0,Control,488
Video_Swin_Fused_030,0.0,Control,489
Video_Swin_Fused_031,0.0,Control,490
Video_Swin_Fused_032,0.0,Control,491
Video_Swin_Fused_033,0.0,Control,492
Video_Swin_Fused_034,0.0,Control,493
Video_Swin_Fused_096,0.0,Control,494
Video_Swin_Fused_036,0.0,Control,495
Video_Swin_Fused_037,0.0,Control,496
Video_Swin_Fused_038,0.0,Control,497
Video_Swin_Fused_039,0.0,Control,498
Video_Swin_Fused_040,0.0,Control,499
Video_Swin_Fused_041,0.0,Control,500
Video_Swin_Fused_042,0.0,Control,501
Video_Swin_Fused_043,0.0,Control,502
Video_Swin_Fused_044,0.0,Control,503
Video_Swin_Fused_045,0.0,Control,504
Video_Swin_Fused_046,0.0,Control,505
Video_Swin_Fused_035,0.0,Control,506
Video_Swin_Fused_001,0.0,Control,507
Video_Swin_Fused_002,0.0,Control,508
Video_Swin_Fused_003,0.0,Control,509
Video_Swin_Fused_004,0.0,Control,510
Video_Swin_Fused_005,0.0,Control,511
Video_Swin_Fused_006,0.0,Control,512
Video_Swin_Fused_007,0.0,Control,513
Video_Swin_Fused_008,0.0,Control,514
Video_Swin_Fused_009,0.0,Control,515
Video_Swin_Fused_010,0.0,Control,516
Video_Swin_Fused_011,0.0,Control,517
Video_Swin_Fused_024,0.0,Control,518
Video_Swin_Fused_013,0.0,Control,519
Video_Swin_Fused_014,0.0,Control,520
Video_Swin_Fused_015,0.0,Control,521
