feature,mean_abs_shap,mean_signed_shap,rank
Video_Swin_Fused_014,0.0,0.0,520
Video_Swin_Fused_015,0.0,0.0,521
Video_Swin_Fused_016,0.0,0.0,522
Video_Swin_Fused_017,0.0,0.0,523
Video_Swin_Fused_018,0.0,0.0,524
Video_Swin_Fused_019,0.0,0.0,525
Video_Swin_Fused_020,0.0,0.0,526
Video_Swin_Fused_021,0.0,0.0,527
Video_Swin_Fused_022,0.0,0.0,528
Video_Swin_Fused_023,0.0,0.0,529
Video_Swin_Fused_012,0.0,0.0,530
Video_Swin_Fused_073,0.0,0.0,531
Video_Swin_Fused_074,0.0,0.0,532
Video_Swin_Fused_075,0.0,0.0,533
Video_Swin_Fused_076,0.0,0.0,534
Video_Swin_Fused_077,0.0,0.0,535
Video_Swin_Fused_078,0.0,0.0,536
Video_Swin_Fused_079,0.0,0.0,537
Video_Swin_Fused_080,0.0,0.0,538
Video_Swin_Fused_081,0.0,0.0,539
Video_Swin_Fused_082,0.0,0.0,540
Video_Swin_Fused_083,0.0,0.0,541
Video_Swin_Fused_047,0.0,0.0,542
Video_Swin_Fused_085,0.0,0.0,543
Video_Swin_Fused_086,0.0,0.0,544
Video_Swin_Fused_087,0.0,0.0,545
Video_Swin_Fused_088,0.0,0.0,546
Video_Swin_Fused_089,0.0,0.0,547
Video_Swin_Fused_090,0.0,0.0,548
Video_Swin_Fused_091,0.0,0.0,549
Video_Swin_Fused_092,0.0,0.0,550
Video_Swin_Fused_093,0.0,0.0,551
Video_Swin_Fused_094,0.0,0.0,552
Video_Swin_Fused_095,0.0,0.0,553
Video_Swin_Fused_084,0.0,0.0,554
Video_Swin_Fused_048,0.0,0.0,555
Video_Swin_Fused_049,0.0,0.0,556
Video_Swin_Fused_050,0.0,0.0,557
Video_Swin_Fused_052,0.0,0.0,558
Video_Swin_Fused_053,0.0,0.0,559
Video_Swin_Fused_054,0.0,0.0,560
Video_Swin_Fused_055,0.0,0.0,561
Video_Swin_Fused_056,0.0,0.0,562
Video_Swin_Fused_057,0.0,0.0,563
Video_Swin_Fused_058,0.0,0.0,564
Video_Swin_Fused_059,0.0,0.0,565
Video_Swin_Fused_072,0.0,0.0,566
Video_Swin_Fused_061,0.0,0.0,567
Video_Swin_Fused_062,0.0,0.0,568
Video_Swin_Fused_063,0.0,0.0,569
Video_Swin_Fused_064,0.0,0.0,570
Video_Swin_Fused_065,0.0,0.0,571
Video_Swin_Fused_066,0.0,0.0,572
Video_Swin_Fused_067,0.0,0.0,573
Video_Swin_Fused_068,0.0,0.0,574
Video_Swin_Fused_069,0.0,0.0,575
Video_Swin_Fused_070,0.0,0.0,576
Video_Swin_Fused_071,0.0,0.0,577
Video_Swin_Fused_060,0.0,0.0,578
Video_Swin_Fused_318,0.0,0.0,579
Video_Swin_Fused_319,0.0,0.0,580
Video_Swin_Fused_320,0.0,0.0,581
Video_Swin_Fused_321,0.0,0.0,582
Video_Swin_Fused_322,0.0,0.0,583
Video_Swin_Fused_323,0.0,0.0,584
Video_Swin_Fused_324,0.0,0.0,585
Video_Swin_Fused_325,0.0,0.0,586
Video_Swin_Fused_326,0.0,0.0,587
Video_Swin_Fused_327,0.0,0.0,588
Video_Swin_Fused_192,0.0,0.0,589
Video_Swin_Fused_329,0.0,0.0,590
Video_Swin_Fused_330,0.0,0.0,591
Video_Swin_Fused_331,0.0,0.0,592
Video_Swin_Fused_332,0.0,0.0,593
Video_Swin_Fused_333,0.0,0.0,594
Video_Swin_Fused_334,0.0,0.0,595
Video_Swin_Fused_335,0.0,0.0,596
Video_Swin_Fused_336,0.0,0.0,597
Video_Swin_Fused_337,0.0,0.0,598
Video_Swin_Fused_338,0.0,0.0,599
Video_Swin_Fused_339,0.0,0.0,600
Video_Swin_Fused_328,0.0,0.0,601
Video_Swin_Fused_294,0.0,0.0,602
Video_Swin_Fused_295,0.0,0.0,603
Video_Swin_Fused_296,0.0,0.0,604
Video_Swin_Fused_297,0.0,0.0,605
Video_Swin_Fused_298,0.0,0.0,606
Video_Swin_Fused_299,0.0,0.0,607
Video_Swin_Fused_300,0.0,0.0,608
Video_Swin_Fused_301,0.0,0.0,609
Video_Swin_Fused_302,0.0,0.0,610
Video_Swin_Fused_303,0.0,0.0,611
Video_Swin_Fused_304,0.0,0.0,612
Video_Swin_Fused_317,0.0,0.0,613
Video_Swin_Fused_306,0.0,0.0,614
Video_Swin_Fused_307,0.0,0.0,615
Video_Swin_Fused_308,0.0,0.0,616
Video_Swin_Fused_309,0.0,0.0,617
Video_Swin_Fused_310,0.0,0.0,618
Video_Swin_Fused_311,0.0,0.0,619
Video_Swin_Fused_312,0.0,0.0,620
Video_Swin_Fused_313,0.0,0.0,621
Video_Swin_Fused_314,0.0,0.0,622
Video_Swin_Fused_315,0.0,0.0,623
Video_Swin_Fused_316,0.0,0.0,624
Video_Swin_Fused_305,0.0,0.0,625
Video_Swin_Fused_366,0.0,0.0,626
Video_Swin_Fused_367,0.0,0.0,627
Video_Swin_Fused_368,0.0,0.0,628
Video_Swin_Fused_369,0.0,0.0,629
Video_Swin_Fused_370,0.0,0.0,630
Video_Swin_Fused_372,0.0,0.0,631
Video_Swin_Fused_373,0.0,0.0,632
Video_Swin_Fused_374,0.0,0.0,633
Video_Swin_Fused_375,0.0,0.0,634
Video_Swin_Fused_376,0.0,0.0,635
Video_Swin_Fused_377,0.0,0.0,636
Video_Swin_Fused_340,0.0,0.0,637
Video_Swin_Fused_379,0.0,0.0,638
Video_Swin_Fused_380,0.0,0.0,639
Video_Swin_Fused_381,0.0,0.0,640
Video_Swin_Fused_382,0.0,0.0,641
Video_Swin_Fused_383,0.0,0.0,642
AST_Fused_384,0.0,0.0,643
AST_Fused_001,0.0,0.0,644
AST_Fused_002,0.0,0.0,645
AST_Fused_003,0.0,0.0,646
AST_Fused_004,0.0,0.0,647
AST_Fused_005,0.0,0.0,648
Video_Swin_Fused_378,0.0,0.0,649
Video_Swin_Fused_341,0.0,0.0,650
Video_Swin_Fused_342,0.0,0.0,651
Video_Swin_Fused_344,0.0,0.0,652
Video_Swin_Fused_345,0.0,0.0,653
Video_Swin_Fused_346,0.0,0.0,654
Video_Swin_Fused_347,0.0,0.0,655
Video_Swin_Fused_348,0.0,0.0,656
Video_Swin_Fused_349,0.0,0.0,657
Video_Swin_Fused_350,0.0,0.0,658
Video_Swin_Fused_351,0.0,0.0,659
Video_Swin_Fused_352,0.0,0.0,660
Video_Swin_Fused_365,0.0,0.0,661
Video_Swin_Fused_354,0.0,0.0,662
Video_Swin_Fused_355,0.0,0.0,663
Video_Swin_Fused_356,0.0,0.0,664
Video_Swin_Fused_357,0.0,0.0,665
Video_Swin_Fused_358,0.0,0.0,666
Video_Swin_Fused_359,0.0,0.0,667
