feature,mean_abs_shap,class,rank
AST_Fused_229,0.0,Parkinsons,307
AST_Fused_230,0.0,Parkinsons,308
AST_Fused_231,0.0,Parkinsons,309
AST_Fused_232,0.0,Parkinsons,310
AST_Fused_233,0.0,Parkinsons,311
AST_Fused_234,0.0,Parkinsons,312
AST_Fused_235,0.0,Parkinsons,313
AST_Fused_236,0.0,Parkinsons,314
AST_Fused_237,0.0,Parkinsons,315
AST_Fused_238,0.0,Parkinsons,316
AST_Fused_227,0.0,Parkinsons,317
AST_Fused_191,0.0,Parkinsons,318
AST_Fused_006,0.0,Parkinsons,319
AST_Fused_193,0.0,Parkinsons,320
AST_Fused_194,0.0,Parkinsons,321
AST_Fused_195,0.0,Parkinsons,322
AST_Fused_196,0.0,Parkinsons,323
AST_Fused_197,0.0,Parkinsons,324
AST_Fused_198,0.0,Parkinsons,325
AST_Fused_199,0.0,Parkinsons,326
AST_Fused_200,0.0,Parkinsons,327
AST_Fused_201,0.0,Parkinsons,328
AST_Fused_215,0.0,Parkinsons,329
AST_Fused_204,0.0,Parkinsons,330
AST_Fused_205,0.0,Parkinsons,331
AST_Fused_206,0.0,Parkinsons,332
AST_Fused_207,0.0,Parkinsons,333
AST_Fused_208,0.0,Parkinsons,334
AST_Fused_209,0.0,Parkinsons,335
AST_Fused_210,0.0,Parkinsons,336
AST_Fused_211,0.0,Parkinsons,337
AST_Fused_212,0.0,Parkinsons,338
AST_Fused_213,0.0,Parkinsons,339
AST_Fused_214,0.0,Parkinsons,340
AST_Fused_203,0.0,Parkinsons,341
AST_Fused_264,0.0,Parkinsons,342
AST_Fused_265,0.0,Parkinsons,343
AST_Fused_266,0.0,Parkinsons,344
AST_Fused_267,0.0,Parkinsons,345
AST_Fused_268,0.0,Parkinsons,346
AST_Fused_269,0.0,Parkinsons,347
AST_Fused_270,0.0,Parkinsons,348
AST_Fused_271,0.0,Parkinsons,349
AST_Fused_272,0.0,Parkinsons,350
AST_Fused_273,0.0,Parkinsons,351
AST_Fused_274,0.0,Parkinsons,352
AST_Fused_239,0.0,Parkinsons,353
AST_Fused_276,0.0,Parkinsons,354
AST_Fused_277,0.0,Parkinsons,355
AST_Fused_278,0.0,Parkinsons,356
AST_Fused_279,0.0,Parkinsons,357
AST_Fused_280,0.0,Parkinsons,358
AST_Fused_281,0.0,Parkinsons,359
AST_Fused_282,0.0,Parkinsons,360
AST_Fused_283,0.0,Parkinsons,361
AST_Fused_284,0.0,Parkinsons,362
AST_Fused_285,0.0,Parkinsons,363
AST_Fused_286,0.0,Parkinsons,364
AST_Fused_275,0.0,Parkinsons,365
AST_Fused_240,0.0,Parkinsons,366
AST_Fused_241,0.0,Parkinsons,367
AST_Fused_242,0.0,Parkinsons,368
AST_Fused_243,0.0,Parkinsons,369
AST_Fused_244,0.0,Parkinsons,370
AST_Fused_245,0.0,Parkinsons,371
AST_Fused_246,0.0,Parkinsons,372
AST_Fused_247,0.0,Parkinsons,373
AST_Fused_248,0.0,Parkinsons,374
AST_Fused_249,0.0,Parkinsons,375
AST_Fused_250,0.0,Parkinsons,376
AST_Fused_263,0.0,Parkinsons,377
AST_Fused_252,0.0,Parkinsons,378
AST_Fused_253,0.0,Parkinsons,379
AST_Fused_254,0.0,Parkinsons,380
AST_Fused_255,0.0,Parkinsons,381
AST_Fused_256,0.0,Parkinsons,382
AST_Fused_257,0.0,Parkinsons,383
AST_Fused_258,0.0,Parkinsons,384
AST_Fused_259,0.0,Parkinsons,385
AST_Fused_260,0.0,Parkinsons,386
AST_Fused_261,0.0,Parkinsons,387
AST_Fused_262,0.0,Parkinsons,388
AST_Fused_251,0.0,Parkinsons,389
Video_Swin_Fused_122,0.0,Parkinsons,390
Video_Swin_Fused_123,0.0,Parkinsons,391
Video_Swin_Fused_124,0.0,Parkinsons,392
Video_Swin_Fused_125,0.0,Parkinsons,393
Video_Swin_Fused_126,0.0,Parkinsons,394
Video_Swin_Fused_127,0.0,Parkinsons,395
Video_Swin_Fused_128,0.0,Parkinsons,396
Video_Swin_Fused_129,0.0,Parkinsons,397
Video_Swin_Fused_130,0.0,Parkinsons,398
Video_Swin_Fused_131,0.0,Parkinsons,399
Video_Swin_Fused_384,0.0,Parkinsons,400
Video_Swin_Fused_133,0.0,Parkinsons,401
Video_Swin_Fused_134,0.0,Parkinsons,402
Video_Swin_Fused_135,0.0,Parkinsons,403
Video_Swin_Fused_136,0.0,Parkinsons,404
Video_Swin_Fused_137,0.0,Parkinsons,405
Video_Swin_Fused_138,0.0,Parkinsons,406
Video_Swin_Fused_139,0.0,Parkinsons,407
Video_Swin_Fused_140,0.0,Parkinsons,408
Video_Swin_Fused_141,0.0,Parkinsons,409
Video_Swin_Fused_142,0.0,Parkinsons,410
Video_Swin_Fused_143,0.0,Parkinsons,411
Video_Swin_Fused_132,0.0,Parkinsons,412
Video_Swin_Fused_097,0.0,Parkinsons,413
Video_Swin_Fused_098,0.0,Parkinsons,414
Video_Swin_Fused_099,0.0,Parkinsons,415
Video_Swin_Fused_100,0.0,Parkinsons,416
Video_Swin_Fused_101,0.0,Parkinsons,417
Video_Swin_Fused_102,0.0,Parkinsons,418
Video_Swin_Fused_103,0.0,Parkinsons,419
Video_Swin_Fused_104,0.0,Parkinsons,420
Video_Swin_Fused_105,0.0,Parkinsons,421
Video_Swin_Fused_106,0.0,Parkinsons,422
Video_Swin_Fused_107,0.0,Parkinsons,423
Video_Swin_Fused_121,0.0,Parkinsons,424
Video_Swin_Fused_109,0.0,Parkinsons,425
Video_Swin_Fused_110,0.0,Parkinsons,426
Video_Swin_Fused_111,0.0,Parkinsons,427
Video_Swin_Fused_112,0.0,Parkinsons,428
Video_Swin_Fused_113,0.0,Parkinsons,429
Video_Swin_Fused_115,0.0,Parkinsons,430
Video_Swin_Fused_116,0.0,Parkinsons,431
Video_Swin_Fused_117,0.0,Parkinsons,432
Video_Swin_Fused_118,0.0,Parkinsons,433
Video_Swin_Fused_119,0.0,Parkinsons,434
Video_Swin_Fused_120,0.0,Parkinsons,435
Video_Swin_Fused_108,0.0,Parkinsons,436
Video_Swin_Fused_170,0.0,Parkinsons,437
Video_Swin_Fused_171,0.0,Parkinsons,438
Video_Swin_Fused_172,0.0,Parkinsons,439
Video_Swin_Fused_173,0.0,Parkinsons,440
Video_Swin_Fused_174,0.0,Parkinsons,441
Video_Swin_Fused_175,0.0,Parkinsons,442
Video_Swin_Fused_176,0.0,Parkinsons,443
Video_Swin_Fused_177,0.0,Parkinsons,444
Video_Swin_Fused_178,0.0,Parkinsons,445
Video_Swin_Fused_179,0.0,Parkinsons,446
Video_Swin_Fused_144,0.0,Parkinsons,447
Video_Swin_Fused_181,0.0,Parkinsons,448
Video_Swin_Fused_182,0.0,Parkinsons,449
Video_Swin_Fused_183,0.0,Parkinsons,450
Video_Swin_Fused_184,0.0,Parkinsons,451
Video_Swin_Fused_185,0.0,Parkinsons,452
Video_Swin_Fused_186,0.0,Parkinsons,453
Video_Swin_Fused_187,0.0,Parkinsons,454
Video_Swin_Fused_188,0.0,Parkinsons,455
Video_Swin_Fused_189,0.0,Parkinsons,456
Video_Swin_Fused_190,0.0,Parkinsons,457
Video_Swin_Fused_191,0.0,Parkinsons,458
Video_Swin_Fused_180,0.0,Parkinsons,459
Video_Swin_Fused_145,0.0,Parkinsons,460
Video_Swin_Fused_146,0.0,Parkinsons,461
Video_Swin_Fused_147,0.0,Parkinsons,462
Video_Swin_Fused_148,0.0,Parkinsons,463
Video_Swin_Fused_150,0.0,Parkinsons,464
Video_Swin_Fused_151,0.0,Parkinsons,465
Video_Swin_Fused_152,0.0,Parkinsons,466
Video_Swin_Fused_153,0.0,Parkinsons,467
Video_Swin_Fused_154,0.0,Parkinsons,468
Video_Swin_Fused_155,0.0,Parkinsons,469
Video_Swin_Fused_156,0.0,Parkinsons,470
Video_Swin_Fused_169,0.0,Parkinsons,471
Video_Swin_Fused_158,0.0,Parkinsons,472
Video_Swin_Fused_159,0.0,Parkinsons,473
Video_Swin_Fused_160,0.0,Parkinsons,474
Video_Swin_Fused_161,0.0,Parkinsons,475
Video_Swin_Fused_162,0.0,Parkinsons,476
Video_Swin_Fused_163,0.0,Parkinsons,477
Video_Swin_Fused_164,0.0,Parkinsons,478
Video_Swin_Fused_165,0.0,Parkinsons,479
Video_Swin_Fused_166,0.0,Parkinsons,480
Video_Swin_Fused_167,0.0,Parkinsons,481
Video_Swin_Fused_168,0.0,Parkinsons,482
Video_Swin_Fused_157,0.0,Parkinsons,483
Video_Swin_Fused_025,0.0,Parkinsons,484
Video_Swin_Fused_026,0.0,Parkinsons,485
Video_Swin_Fused_027,0.0,Parkinsons,486
Video_Swin_Fused_028,0.0,Parkinsons,487
Video_Swin_Fused_029,0.0,Parkinsons,488
Video_Swin_Fused_030,0.0,Parkinsons,489
Video_Swin_Fused_031,0.0,Parkinsons,490
Video_Swin_Fused_032,0.0,Parkinsons,491
Video_Swin_Fused_033,0.0,Parkinsons,492
