feature,mean_abs_shap,mean_shap
Video_Swin_Fused_055,0.0,0.0
Video_Swin_Fused_056,0.0,0.0
Video_Swin_Fused_057,0.0,0.0
Video_Swin_Fused_058,0.0,0.0
Video_Swin_Fused_059,0.0,0.0
Video_Swin_Fused_072,0.0,0.0
Video_Swin_Fused_061,0.0,0.0
Video_Swin_Fused_062,0.0,0.0
Video_Swin_Fused_063,0.0,0.0
Video_Swin_Fused_064,0.0,0.0
Video_Swin_Fused_065,0.0,0.0
Video_Swin_Fused_066,0.0,0.0
Video_Swin_Fused_067,0.0,0.0
Video_Swin_Fused_068,0.0,0.0
Video_Swin_Fused_069,0.0,0.0
Video_Swin_Fused_070,0.0,0.0
Video_Swin_Fused_071,0.0,0.0
Video_Swin_Fused_060,0.0,0.0
Video_Swin_Fused_318,0.0,0.0
Video_Swin_Fused_319,0.0,0.0
Video_Swin_Fused_320,0.0,0.0
Video_Swin_Fused_321,0.0,0.0
Video_Swin_Fused_322,0.0,0.0
Video_Swin_Fused_323,0.0,0.0
Video_Swin_Fused_324,0.0,0.0
Video_Swin_Fused_325,0.0,0.0
Video_Swin_Fused_326,0.0,0.0
Video_Swin_Fused_327,0.0,0.0
Video_Swin_Fused_192,0.0,0.0
Video_Swin_Fused_329,0.0,0.0
Video_Swin_Fused_330,0.0,0.0
Video_Swin_Fused_331,0.0,0.0
Video_Swin_Fused_332,0.0,0.0
Video_Swin_Fused_333,0.0,0.0
Video_Swin_Fused_334,0.0,0.0
Video_Swin_Fused_335,0.0,0.0
Video_Swin_Fused_336,0.0,0.0
Video_Swin_Fused_337,0.0,0.0
Video_Swin_Fused_338,0.0,0.0
Video_Swin_Fused_339,0.0,0.0
Video_Swin_Fused_328,0.0,0.0
Video_Swin_Fused_294,0.0,0.0
Video_Swin_Fused_295,0.0,0.0
Video_Swin_Fused_296,0.0,0.0
Video_Swin_Fused_297,0.0,0.0
Video_Swin_Fused_298,0.0,0.0
Video_Swin_Fused_299,0.0,0.0
Video_Swin_Fused_300,0.0,0.0
Video_Swin_Fused_301,0.0,0.0
Video_Swin_Fused_302,0.0,0.0
Video_Swin_Fused_303,0.0,0.0
Video_Swin_Fused_304,0.0,0.0
Video_Swin_Fused_317,0.0,0.0
Video_Swin_Fused_306,0.0,0.0
Video_Swin_Fused_307,0.0,0.0
Video_Swin_Fused_308,0.0,0.0
Video_Swin_Fused_309,0.0,0.0
Video_Swin_Fused_310,0.0,0.0
Video_Swin_Fused_311,0.0,0.0
Video_Swin_Fused_312,0.0,0.0
Video_Swin_Fused_313,0.0,0.0
Video_Swin_Fused_314,0.0,0.0
Video_Swin_Fused_315,0.0,0.0
Video_Swin_Fused_316,0.0,0.0
Video_Swin_Fused_305,0.0,0.0
Video_Swin_Fused_366,0.0,0.0
Video_Swin_Fused_367,0.0,0.0
Video_Swin_Fused_368,0.0,0.0
Video_Swin_Fused_369,0.0,0.0
Video_Swin_Fused_370,0.0,0.0
Video_Swin_Fused_372,0.0,0.0
Video_Swin_Fused_373,0.0,0.0
Video_Swin_Fused_374,0.0,0.0
Video_Swin_Fused_375,0.0,0.0
Video_Swin_Fused_376,0.0,0.0
Video_Swin_Fused_377,0.0,0.0
Video_Swin_Fused_340,0.0,0.0
Video_Swin_Fused_379,0.0,0.0
Video_Swin_Fused_380,0.0,0.0
Video_Swin_Fused_381,0.0,0.0
Video_Swin_Fused_382,0.0,0.0
Video_Swin_Fused_383,0.0,0.0
AST_Fused_384,0.0,0.0
AST_Fused_001,0.0,0.0
AST_Fused_002,0.0,0.0
AST_Fused_003,0.0,0.0
AST_Fused_004,0.0,0.0
AST_Fused_005,0.0,0.0
Video_Swin_Fused_378,0.0,0.0
Video_Swin_Fused_341,0.0,0.0
Video_Swin_Fused_342,0.0,0.0
Video_Swin_Fused_344,0.0,0.0
Video_Swin_Fused_345,0.0,0.0
Video_Swin_Fused_346,0.0,0.0
Video_Swin_Fused_347,0.0,0.0
Video_Swin_Fused_348,0.0,0.0
Video_Swin_Fused_349,0.0,0.0
Video_Swin_Fused_350,0.0,0.0
Video_Swin_Fused_351,0.0,0.0
Video_Swin_Fused_352,0.0,0.0
Video_Swin_Fused_365,0.0,0.0
Video_Swin_Fused_354,0.0,0.0
Video_Swin_Fused_355,0.0,0.0
Video_Swin_Fused_356,0.0,0.0
Video_Swin_Fused_357,0.0,0.0
Video_Swin_Fused_358,0.0,0.0
Video_Swin_Fused_359,0.0,0.0
Video_Swin_Fused_360,0.0,0.0
Video_Swin_Fused_361,0.0,0.0
Video_Swin_Fused_362,0.0,0.0
Video_Swin_Fused_363,0.0,0.0
Video_Swin_Fused_364,0.0,0.0
Video_Swin_Fused_353,0.0,0.0
Video_Swin_Fused_218,0.0,0.0
Video_Swin_Fused_219,0.0,0.0
Video_Swin_Fused_220,0.0,0.0
Video_Swin_Fused_221,0.0,0.0
Video_Swin_Fused_222,0.0,0.0
Video_Swin_Fused_223,0.0,0.0
Video_Swin_Fused_224,0.0,0.0
Video_Swin_Fused_225,0.0,0.0
Video_Swin_Fused_227,0.0,0.0
Video_Swin_Fused_228,0.0,0.0
Video_Swin_Fused_293,0.0,0.0
Video_Swin_Fused_230,0.0,0.0
Video_Swin_Fused_231,0.0,0.0
Video_Swin_Fused_232,0.0,0.0
Video_Swin_Fused_233,0.0,0.0
Video_Swin_Fused_234,0.0,0.0
Video_Swin_Fused_235,0.0,0.0
Video_Swin_Fused_236,0.0,0.0
Video_Swin_Fused_237,0.0,0.0
Video_Swin_Fused_238,0.0,0.0
Video_Swin_Fused_239,0.0,0.0
Video_Swin_Fused_240,0.0,0.0
Video_Swin_Fused_229,0.0,0.0
Video_Swin_Fused_193,0.0,0.0
Video_Swin_Fused_194,0.0,0.0
Video_Swin_Fused_195,0.0,0.0
Video_Swin_Fused_196,0.0,0.0
Video_Swin_Fused_197,0.0,0.0
Video_Swin_Fused_198,0.0,0.0
Video_Swin_Fused_199,0.0,0.0
Video_Swin_Fused_200,0.0,0.0
Video_Swin_Fused_201,0.0,0.0
Video_Swin_Fused_202,0.0,0.0
Video_Swin_Fused_203,0.0,0.0
Video_Swin_Fused_217,0.0,0.0
Video_Swin_Fused_205,0.0,0.0
Video_Swin_Fused_206,0.0,0.0
Video_Swin_Fused_207,0.0,0.0
Video_Swin_Fused_208,0.0,0.0
Video_Swin_Fused_209,0.0,0.0
Video_Swin_Fused_210,0.0,0.0
Video_Swin_Fused_212,0.0,0.0
Video_Swin_Fused_213,0.0,0.0
Video_Swin_Fused_214,0.0,0.0
Video_Swin_Fused_215,0.0,0.0
Video_Swin_Fused_216,0.0,0.0
Video_Swin_Fused_204,0.0,0.0
Video_Swin_Fused_269,0.0,0.0
Video_Swin_Fused_270,0.0,0.0
Video_Swin_Fused_271,0.0,0.0
Video_Swin_Fused_272,0.0,0.0
Video_Swin_Fused_273,0.0,0.0
